Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Aach,Gemeinde,7235001,Rheinland-Pfalz
Aach,Stadt,8335001,Baden-Württemberg
Aachen,Stadt,5334002,Nordrhein-Westfalen
Aalen,Stadt,8136088,Baden-Württemberg
Aarbergen,Gemeinde,6439001,Hessen
Aasbüttel,Gemeinde,1061001,Schleswig-Holstein
Abenberg,Stadt,9576111,Bayern
Abenberger Wald,Gemeindefreies Gebiet,9576451,Bayern
Abensberg,Stadt,9273111,Bayern
Abentheuer,Gemeinde,7134001,Rheinland-Pfalz
Absberg,Gemeinde,9577111,Bayern
Abstatt,Gemeinde,8125001,Baden-Württemberg
Abtsbessingen,Gemeinde,16065001,Thüringen 
Abtsgmünd,Gemeinde,8136002,Baden-Württemberg
Abtsteinach,Gemeinde,6431001,Hessen
Abtswind,Gemeinde,9675111,Bayern
Abtweiler,Gemeinde,7133001,Rheinland-Pfalz
Achberg,Gemeinde,8436001,Baden-Württemberg
Achern,Stadt,8317001,Baden-Württemberg
Achim,Stadt,3361001,Niedersachsen
Achslach,Gemeinde,9276111,Bayern
Achstetten,Gemeinde,8426001,Baden-Württemberg
Acht,Gemeinde,7137001,Rheinland-Pfalz
Achtelsbach,Gemeinde,7134002,Rheinland-Pfalz
Achterwehr,Gemeinde,1058001,Schleswig-Holstein
Achtrup,Gemeinde,1054001,Schleswig-Holstein
Adelberg,Gemeinde,8117001,Baden-Württemberg
Adelebsen,Gemeinde,3152001,Niedersachsen
Adelheidsdorf,Gemeinde,3351001,Niedersachsen
Adelmannsfelden,Gemeinde,8136003,Baden-Württemberg
Adelschlag,Gemeinde,9176111,Bayern
Adelsdorf,Gemeinde,9572111,Bayern
Adelsheim,Stadt,8225001,Baden-Württemberg
Adelshofen,Gemeinde,9179111,Bayern
Adelshofen,Gemeinde,9571111,Bayern
Adelsried,Gemeinde,9772111,Bayern
Adelzhausen,Gemeinde,9771111,Bayern
Adenau,Stadt,7131001,Rheinland-Pfalz
Adenbach,Gemeinde,7336001,Rheinland-Pfalz
Adenbüttel,Gemeinde,3151001,Niedersachsen
Adendorf,Gemeinde,3355001,Niedersachsen
Adenstedt,Gemeinde,3254001,Niedersachsen
Adlkofen,Gemeinde,9274111,Bayern
Admannshagen-Bargeshagen,Gemeinde,13072001,Mecklenburg-Vorpommern
Adorf/Vogtl.,Stadt,14523010,Sachsen
Aebtissinwisch,Gemeinde,1061002,Schleswig-Holstein
Aerzen,Gemeinde,3252001,Niedersachsen
Affalterbach,Gemeinde,8118001,Baden-Württemberg
Affing,Gemeinde,9771112,Bayern
Affinghausen,Gemeinde,3251001,Niedersachsen
Affler,Gemeinde,7232001,Rheinland-Pfalz
Agathenburg,Gemeinde,3359001,Niedersachsen
Agethorst,Gemeinde,1061003,Schleswig-Holstein
Aglasterhausen,Gemeinde,8225002,Baden-Württemberg
Aham,Gemeinde,9274112,Bayern
Ahaus,Stadt,5554004,Nordrhein-Westfalen
Ahausen,Gemeinde,3357001,Niedersachsen
Ahlbeck,Gemeinde,13075001,Mecklenburg-Vorpommern
Ahlden (Aller),Gemeinde,3358001,Niedersachsen
Ahlefeld-Bistensee,Gemeinde,1058175,Schleswig-Holstein
Ahlen,Stadt,5570004,Nordrhein-Westfalen
Ahlerstedt,Gemeinde,3359002,Niedersachsen
Ahlsdorf,Gemeinde,15087010,Sachsen-Anhalt
Ahlstädt,Gemeinde,16069001,Thüringen 
Ahnatal,Gemeinde,6633001,Hessen
Ahneby,Gemeinde,1059102,Schleswig-Holstein
Ahnsbeck,Gemeinde,3351002,Niedersachsen
Ahnsen,Gemeinde,3257001,Niedersachsen
Aholfing,Gemeinde,9278112,Bayern
Aholming,Gemeinde,9271111,Bayern
Ahorn,Gemeinde,8128138,Baden-Württemberg
Ahorn,Gemeinde,9473112,Bayern
Ahorntal,Gemeinde,9472111,Bayern
Ahrbrück,Gemeinde,7131002,Rheinland-Pfalz
Ahrensbök,Gemeinde,1055001,Schleswig-Holstein
Ahrensburg,Stadt,1062001,Schleswig-Holstein
Ahrensfelde,Gemeinde,12060005,Brandenburg
Ahrenshagen-Daskow,Gemeinde,13073001,Mecklenburg-Vorpommern
Ahrenshöft,Gemeinde,1054002,Schleswig-Holstein
Ahrenshoop,Gemeinde,13073002,Mecklenburg-Vorpommern
Ahrenviöl,Gemeinde,1054003,Schleswig-Holstein
Ahrenviölfeld,Gemeinde,1054004,Schleswig-Holstein
Aicha vorm Wald,Gemeinde,9275111,Bayern
Aichach,Stadt,9771113,Bayern
Aichelberg,Gemeinde,8117002,Baden-Württemberg
Aichen,Gemeinde,9774166,Bayern
Aichhalden,Gemeinde,8325001,Baden-Württemberg
Aichstetten,Gemeinde,8436003,Baden-Württemberg
Aichtal,Stadt,8116081,Baden-Württemberg
Aichwald,Gemeinde,8116076,Baden-Württemberg
Aidenbach,Gemeinde,9275112,Bayern
Aidhausen,Gemeinde,9674111,Bayern
Aidlingen,Gemeinde,8115001,Baden-Württemberg
Aiglsbach,Gemeinde,9273113,Bayern
Ailertchen,Gemeinde,7143200,Rheinland-Pfalz
Aindling,Gemeinde,9771114,Bayern
Ainring,Gemeinde,9172111,Bayern
Aislingen,Gemeinde,9773111,Bayern
Aiterhofen,Gemeinde,9278113,Bayern
Aitern,Gemeinde,8336004,Baden-Württemberg
Aitrach,Gemeinde,8436004,Baden-Württemberg
Aitrang,Gemeinde,9777111,Bayern
Aken (Elbe),Stadt,15082005,Sachsen-Anhalt
Aland,Gemeinde,15090003,Sachsen-Anhalt
Albaching,Gemeinde,9187186,Bayern
Albbruck,Gemeinde,8337002,Baden-Württemberg
Albersdorf,Gemeinde,1051001,Schleswig-Holstein
Albersdorf,Gemeinde,16074001,Thüringen 
Albershausen,Gemeinde,8117003,Baden-Württemberg
Albersweiler,Gemeinde,7337001,Rheinland-Pfalz
Albertshofen,Gemeinde,9675112,Bayern
Albessen,Gemeinde,7336002,Rheinland-Pfalz
Albig,Gemeinde,7331001,Rheinland-Pfalz
Albisheim (Pfrimm),Gemeinde,7333001,Rheinland-Pfalz
Albsfelde,Gemeinde,1053001,Schleswig-Holstein
Albstadt,Stadt,8417079,Baden-Württemberg
Aldenhoven,Gemeinde,5358004,Nordrhein-Westfalen
Aldersbach,Gemeinde,9275114,Bayern
Aldingen,Gemeinde,8327002,Baden-Württemberg
Alerheim,Gemeinde,9779111,Bayern
Alesheim,Gemeinde,9577113,Bayern
Aletshausen,Gemeinde,9774111,Bayern
Alf,Gemeinde,7135001,Rheinland-Pfalz
Alfdorf,Gemeinde,8119001,Baden-Württemberg
Alfeld,Gemeinde,9574111,Bayern
Alfeld (Leine),Stadt,3254002,Niedersachsen
Alfhausen,Gemeinde,3459001,Niedersachsen
Alflen,Gemeinde,7135002,Rheinland-Pfalz
Alfstedt,Gemeinde,3357002,Niedersachsen
Alfter,Gemeinde,5382004,Nordrhein-Westfalen
Algermissen,Gemeinde,3254003,Niedersachsen
Alheim,Gemeinde,6632001,Hessen
Alken,Gemeinde,7137201,Rheinland-Pfalz
Alkersleben,Gemeinde,16070001,Thüringen 
Alkersum,Gemeinde,1054005,Schleswig-Holstein
Allenbach,Gemeinde,7134003,Rheinland-Pfalz
Allendorf,Gemeinde,7141001,Rheinland-Pfalz
Allendorf,Gemeinde,16073001,Thüringen 
Allendorf (Eder),Gemeinde,6635001,Hessen
Allendorf (Lumda),Stadt,6531001,Hessen
Allenfeld,Gemeinde,7133002,Rheinland-Pfalz
Allensbach,Gemeinde,8335002,Baden-Württemberg
Allersberg,Gemeinde,9576113,Bayern
Allershausen,Gemeinde,9178113,Bayern
Alleshausen,Gemeinde,8426005,Baden-Württemberg
Alling,Gemeinde,9179113,Bayern
Allmannshofen,Gemeinde,9772114,Bayern
Allmannsweiler,Gemeinde,8426006,Baden-Württemberg
Allmendingen,Gemeinde,8425002,Baden-Württemberg
Allmersbach im Tal,Gemeinde,8119003,Baden-Württemberg
Allstedt,Stadt,15087015,Sachsen-Anhalt
Almdorf,Gemeinde,1054006,Schleswig-Holstein
Almersbach,Gemeinde,7132001,Rheinland-Pfalz
Almstedt,Gemeinde,3254004,Niedersachsen
Alpen,Gemeinde,5170004,Nordrhein-Westfalen
Alpenrod,Gemeinde,7143202,Rheinland-Pfalz
Alperstedt,Gemeinde,16068001,Thüringen 
Alpirsbach,Stadt,8237002,Baden-Württemberg
Alsbach,Gemeinde,7143001,Rheinland-Pfalz
Alsbach-Hähnlein,Gemeinde,6432001,Hessen
Alsdorf,Stadt,5334004,Nordrhein-Westfalen
Alsdorf,Gemeinde,7132002,Rheinland-Pfalz
Alsdorf,Gemeinde,7232002,Rheinland-Pfalz
Alsenz,Gemeinde,7333003,Rheinland-Pfalz
Alsfeld,Stadt,6535001,Hessen
Alsheim,Gemeinde,7331002,Rheinland-Pfalz
Alsleben (Saale),Stadt,15089005,Sachsen-Anhalt
Alt Bennebek,Gemeinde,1059001,Schleswig-Holstein
Alt Bukow,Gemeinde,13072002,Mecklenburg-Vorpommern
Alt Duvenstedt,Gemeinde,1058003,Schleswig-Holstein
Alt Krenzlin,Gemeinde,13076001,Mecklenburg-Vorpommern
Alt Meteln,Gemeinde,13074001,Mecklenburg-Vorpommern
Alt Mölln,Gemeinde,1053002,Schleswig-Holstein
Alt Schwerin,Gemeinde,13071001,Mecklenburg-Vorpommern
Alt Sührkow,Gemeinde,13072003,Mecklenburg-Vorpommern
Alt Tellin,Gemeinde,13075002,Mecklenburg-Vorpommern
Alt Tucheband,Gemeinde,12064009,Brandenburg
Alt Zachun,Gemeinde,13076002,Mecklenburg-Vorpommern
Alt Zauche-Wußwerk,Gemeinde,12061005,Brandenburg
Altbach,Gemeinde,8116004,Baden-Württemberg
Altdöbern,Gemeinde,12066008,Brandenburg
Altdorf,Gemeinde,7337002,Rheinland-Pfalz
Altdorf,Gemeinde,8115002,Baden-Württemberg
Altdorf,Gemeinde,8116005,Baden-Württemberg
Altdorf,Gemeinde,9274113,Bayern
Altdorf b. Nürnberg,Stadt,9574112,Bayern
Altefähr,Gemeinde,13073003,Mecklenburg-Vorpommern
Alteglofsheim,Gemeinde,9375113,Bayern
Altena,Stadt,5962004,Nordrhein-Westfalen
Altenahr,Gemeinde,7131003,Rheinland-Pfalz
Altenbamberg,Gemeinde,7133003,Rheinland-Pfalz
Altenbeken,Gemeinde,5774004,Nordrhein-Westfalen
Altenberg,Stadt,14628010,Sachsen
Altenberga,Gemeinde,16074002,Thüringen 
Altenberge,Gemeinde,5566004,Nordrhein-Westfalen
Altenbeuthen,Gemeinde,16073002,Thüringen 
Altenbuch,Gemeinde,9676111,Bayern
Altenburg,Stadt,16077001,Thüringen 
Altendiez,Gemeinde,7141002,Rheinland-Pfalz
Altendorf,Gemeinde,9376112,Bayern
Altendorf,Gemeinde,9471111,Bayern
Altenfeld,Gemeinde,16070002,Thüringen 
Altenglan,Gemeinde,7336003,Rheinland-Pfalz
Altengottern,Gemeinde,16064001,Thüringen 
Altenhagen,Gemeinde,13071002,Mecklenburg-Vorpommern
Altenhausen,Gemeinde,15083020,Sachsen-Anhalt
Altenhof,Gemeinde,1058004,Schleswig-Holstein
Altenhof,Gemeinde,13071003,Mecklenburg-Vorpommern
Altenholz,Gemeinde,1058005,Schleswig-Holstein
Altenkirchen,Gemeinde,7336004,Rheinland-Pfalz
Altenkirchen,Gemeinde,13073004,Mecklenburg-Vorpommern
Altenkirchen (Westerwald),Stadt,7132501,Rheinland-Pfalz
Altenkrempe,Gemeinde,1055002,Schleswig-Holstein
Altenkunstadt,Gemeinde,9478111,Bayern
Altenmarkt a.d. Alz,Gemeinde,9189111,Bayern
Altenmedingen,Gemeinde,3360001,Niedersachsen
Altenmoor,Gemeinde,1061004,Schleswig-Holstein
Altenmünster,Gemeinde,9772115,Bayern
Altenpleen,Gemeinde,13073005,Mecklenburg-Vorpommern
Altenriet,Gemeinde,8116006,Baden-Württemberg
Altenstadt,Gemeinde,6440001,Hessen
Altenstadt,Gemeinde,9190111,Bayern
Altenstadt,Gemeinde,9775111,Bayern
Altenstadt a.d. Waldnaab,Gemeinde,9374111,Bayern
Altensteig,Stadt,8235006,Baden-Württemberg
Altenthann,Gemeinde,9375114,Bayern
Altentreptow,Stadt,13071004,Mecklenburg-Vorpommern
Alterkülz,Gemeinde,7140001,Rheinland-Pfalz
Altersbach,Gemeinde,16066001,Thüringen 
Altertheim,Gemeinde,9679165,Bayern
Altfraunhofen,Gemeinde,9274114,Bayern
Althegnenberg,Gemeinde,9179114,Bayern
Altheim,Gemeinde,8425004,Baden-Württemberg
Altheim,Gemeinde,8426008,Baden-Württemberg
Altheim (Alb),Gemeinde,8425005,Baden-Württemberg
Althengstett,Gemeinde,8235007,Baden-Württemberg
Althornbach,Gemeinde,7340201,Rheinland-Pfalz
Althütte,Gemeinde,8119004,Baden-Württemberg
Althüttendorf,Gemeinde,12060012,Brandenburg
Altkalen,Gemeinde,13072004,Mecklenburg-Vorpommern
Altkirchen,Gemeinde,16077002,Thüringen 
Altlandsberg,Stadt,12064029,Brandenburg
Altlay,Gemeinde,7135003,Rheinland-Pfalz
Altleiningen,Gemeinde,7332001,Rheinland-Pfalz
Altlußheim,Gemeinde,8226003,Baden-Württemberg
Altmannstein,Gemeinde,9176112,Bayern
Altmärkische Höhe,Gemeinde,15090007,Sachsen-Anhalt
Altmärkische Wische,Gemeinde,15090008,Sachsen-Anhalt
Altmittweida,Gemeinde,14522010,Sachsen
Altomünster,Gemeinde,9174111,Bayern
Altötting,Stadt,9171111,Bayern
Altrich,Gemeinde,7231001,Rheinland-Pfalz
Altrip,Gemeinde,7338001,Rheinland-Pfalz
Altscheid,Gemeinde,7232003,Rheinland-Pfalz
Altshausen,Gemeinde,8436005,Baden-Württemberg
Altstrimmig,Gemeinde,7135004,Rheinland-Pfalz
Altusried,Gemeinde,9780112,Bayern
Altwarp,Gemeinde,13075003,Mecklenburg-Vorpommern
Altweidelbach,Gemeinde,7140002,Rheinland-Pfalz
Altwigshagen,Gemeinde,13075004,Mecklenburg-Vorpommern
Alveslohe,Gemeinde,1060002,Schleswig-Holstein
Alzenau,Stadt,9671111,Bayern
Alzey,Stadt,7331003,Rheinland-Pfalz
Am Großen Bruch,Gemeinde,15083025,Sachsen-Anhalt
Am Großen Rhode,Gemeindefreies Gebiet,3158501,Niedersachsen
Am Mellensee,Gemeinde,12072002,Brandenburg
Am Ohmberg,Gemeinde,16061116,Thüringen 
Am Salzhaff,Gemeinde,13072005,Mecklenburg-Vorpommern
Amberg,Stadt,9361000,Bayern
Amberg,Gemeinde,9778111,Bayern
Amelinghausen,Gemeinde,3355002,Niedersachsen
Amerang,Gemeinde,9187113,Bayern
Amerdingen,Gemeinde,9779112,Bayern
Ammeldingen an der Our,Gemeinde,7232004,Rheinland-Pfalz
Ammeldingen bei Neuerburg,Gemeinde,7232005,Rheinland-Pfalz
Ammerbuch,Gemeinde,8416048,Baden-Württemberg
Ammerndorf,Gemeinde,9573111,Bayern
Ammersbek,Gemeinde,1062090,Schleswig-Holstein
Ammersee,Gemeindefreies Gebiet,9181451,Bayern
Ammerthal,Gemeinde,9371111,Bayern
Amöneburg,Stadt,6534001,Hessen
Amorbach,Stadt,9676112,Bayern
Ampfing,Gemeinde,9183112,Bayern
Amstetten,Gemeinde,8425008,Baden-Württemberg
Amt Neuhaus,Gemeinde,3355049,Niedersachsen
Amt Wachsenburg,Gemeinde,16070028,Thüringen 
Amtsberg,Gemeinde,14521010,Sachsen
Amtzell,Gemeinde,8436006,Baden-Württemberg
An der Poststraße,Gemeinde,15084012,Sachsen-Anhalt
Andechs,Gemeinde,9188117,Bayern
Anderlingen,Gemeinde,3357003,Niedersachsen
Andernach,Stadt,7137003,Rheinland-Pfalz
Andervenne,Gemeinde,3454001,Niedersachsen
Andisleben,Gemeinde,16068002,Thüringen 
Angelbachtal,Gemeinde,8226102,Baden-Württemberg
Angelburg,Gemeinde,6534002,Hessen
Angelroda,Gemeinde,16070003,Thüringen 
Anger,Gemeinde,9172112,Bayern
Angermünde,Stadt,12073008,Brandenburg
Angern,Gemeinde,15083030,Sachsen-Anhalt
Anhausen,Gemeinde,7138002,Rheinland-Pfalz
Ankershagen,Gemeinde,13071005,Mecklenburg-Vorpommern
Anklam,Stadt,13075005,Mecklenburg-Vorpommern
Ankum,Gemeinde,3459002,Niedersachsen
Annaberg-Buchholz,Stadt,14521020,Sachsen
Annaburg,Stadt,15091010,Sachsen-Anhalt
Annathaler Wald,Gemeindefreies Gebiet,9272451,Bayern
Annweiler am Trifels,Stadt,7337501,Rheinland-Pfalz
Anröchte,Gemeinde,5974004,Nordrhein-Westfalen
Anrode,Gemeinde,16064073,Thüringen 
Ansbach,Stadt,9561000,Bayern
Anschau,Gemeinde,7137004,Rheinland-Pfalz
Antdorf,Gemeinde,9190113,Bayern
Antrifttal,Gemeinde,6535002,Hessen
Antweiler,Gemeinde,7131004,Rheinland-Pfalz
Anzing,Gemeinde,9175111,Bayern
Anzinger Forst,Gemeindefreies Gebiet,9175451,Bayern
Apelern,Gemeinde,3257002,Niedersachsen
Apen,Gemeinde,3451001,Niedersachsen
Apenburg-Winterfeld,Gemeinde,15081026,Sachsen-Anhalt
Apensen,Gemeinde,3359003,Niedersachsen
Apfeldorf,Gemeinde,9181111,Bayern
Apfeltrach,Gemeinde,9778113,Bayern
Apolda,Stadt,16071001,Thüringen 
Appel,Gemeinde,3353001,Niedersachsen
Appen,Gemeinde,1056001,Schleswig-Holstein
Appenheim,Gemeinde,7339001,Rheinland-Pfalz
Appenweier,Gemeinde,8317005,Baden-Württemberg
Arbach,Gemeinde,7233201,Rheinland-Pfalz
Arberg,Gemeinde,9571113,Bayern
Aremberg,Gemeinde,7131005,Rheinland-Pfalz
Arendsee (Altmark),Stadt,15081030,Sachsen-Anhalt
Arenrath,Gemeinde,7231003,Rheinland-Pfalz
Arenshausen,Gemeinde,16061001,Thüringen 
Aresing,Gemeinde,9185113,Bayern
Arft,Gemeinde,7137006,Rheinland-Pfalz
Argenbühl,Gemeinde,8436094,Baden-Württemberg
Argenschwang,Gemeinde,7133004,Rheinland-Pfalz
Argenthal,Gemeinde,7140003,Rheinland-Pfalz
Arholzen,Gemeinde,3255001,Niedersachsen
Arkebek,Gemeinde,1051002,Schleswig-Holstein
Arlewatt,Gemeinde,1054007,Schleswig-Holstein
Armsheim,Gemeinde,7331004,Rheinland-Pfalz
Armstedt,Gemeinde,1060003,Schleswig-Holstein
Armstorf,Gemeinde,3352002,Niedersachsen
Arnbruck,Gemeinde,9276113,Bayern
Arneburg,Stadt,15090010,Sachsen-Anhalt
Arnis,Stadt,1059002,Schleswig-Holstein
Arnsberg,Stadt,5958004,Nordrhein-Westfalen
Arnschwang,Gemeinde,9372112,Bayern
Arnsdorf,Gemeinde,14625010,Sachsen
Arnshöfen,Gemeinde,7143203,Rheinland-Pfalz
Arnstadt,Stadt,16070004,Thüringen 
Arnstein,Stadt,9677114,Bayern
Arnstein,Stadt,15087031,Sachsen-Anhalt
Arnstorf,Gemeinde,9277111,Bayern
Arpsdorf,Gemeinde,1058007,Schleswig-Holstein
Arrach,Gemeinde,9372113,Bayern
Artern/Unstrut,Stadt,16065002,Thüringen 
Artlenburg,Gemeinde,3355003,Niedersachsen
Arzbach,Gemeinde,7141201,Rheinland-Pfalz
Arzberg,Stadt,9479112,Bayern
Arzberg,Gemeinde,14730010,Sachsen
Arzfeld,Gemeinde,7232201,Rheinland-Pfalz
Asbach,Gemeinde,7134004,Rheinland-Pfalz
Asbach,Gemeinde,7138003,Rheinland-Pfalz
Asbach-Bäumenheim,Gemeinde,9779115,Bayern
Asbach-Sickenberg,Gemeinde,16061002,Thüringen 
Ascha,Gemeinde,9278116,Bayern
Aschaffenburg,Stadt,9661000,Bayern
Aschau a. Inn,Gemeinde,9183113,Bayern
Aschau i. Chiemgau,Gemeinde,9187114,Bayern
Aschbach,Gemeinde,7336005,Rheinland-Pfalz
Ascheberg,Gemeinde,5558004,Nordrhein-Westfalen
Ascheberg (Holstein),Gemeinde,1057001,Schleswig-Holstein
Ascheffel,Gemeinde,1058008,Schleswig-Holstein
Aschenhausen,Gemeinde,16066002,Thüringen 
Aschersleben,Stadt,15089015,Sachsen-Anhalt
Aschheim,Gemeinde,9184112,Bayern
Asendorf,Gemeinde,3251002,Niedersachsen
Asendorf,Gemeinde,3353002,Niedersachsen
Aspach,Gemeinde,8119087,Baden-Württemberg
Asperg,Stadt,8118003,Baden-Württemberg
Aspisheim,Gemeinde,7339002,Rheinland-Pfalz
Assamstadt,Gemeinde,8128006,Baden-Württemberg
Asselfingen,Gemeinde,8425011,Baden-Württemberg
Aßlar,Stadt,6532001,Hessen
Aßling,Gemeinde,9175112,Bayern
Astert,Gemeinde,7143204,Rheinland-Pfalz
Attendorn,Stadt,5966004,Nordrhein-Westfalen
Attenhausen,Gemeinde,7141003,Rheinland-Pfalz
Attenhofen,Gemeinde,9273115,Bayern
Attenkirchen,Gemeinde,9178115,Bayern
Attenweiler,Gemeinde,8426011,Baden-Württemberg
Atting,Gemeinde,9278117,Bayern
Atzelgift,Gemeinde,7143205,Rheinland-Pfalz
Au,Gemeinde,8315003,Baden-Württemberg
Au am Rhein,Gemeinde,8216002,Baden-Württemberg
Au i.d. Hallertau,Gemeinde,9178116,Bayern
Aub,Stadt,9679114,Bayern
Aubstadt,Gemeinde,9673113,Bayern
Auderath,Gemeinde,7135005,Rheinland-Pfalz
Aue,Stadt,14521030,Sachsen
Auel,Gemeinde,7141004,Rheinland-Pfalz
Auen,Gemeinde,7133005,Rheinland-Pfalz
Auengrund,Gemeinde,16069058,Thüringen 
Auenwald,Gemeinde,8119006,Baden-Württemberg
Auerbach,Gemeinde,9271113,Bayern
Auerbach,Gemeinde,14521040,Sachsen
Auerbach i.d. OPf.,Stadt,9371113,Bayern
Auerbach/Vogtl.,Stadt,14523020,Sachsen
Auetal,Gemeinde,3257003,Niedersachsen
Aufhausen,Gemeinde,9375115,Bayern
Aufseß,Gemeinde,9472115,Bayern
Auggen,Gemeinde,8315004,Baden-Württemberg
Augsburg,Stadt,9761000,Bayern
Augustdorf,Gemeinde,5766004,Nordrhein-Westfalen
Augustusburg,Stadt,14522020,Sachsen
Auhagen,Gemeinde,3257004,Niedersachsen
Auhausen,Gemeinde,9779117,Bayern
Aukrug,Gemeinde,1058009,Schleswig-Holstein
Aulendorf,Stadt,8436008,Baden-Württemberg
Aull,Gemeinde,7141005,Rheinland-Pfalz
Auma-Weidatal,Stadt,16076092,Thüringen 
Aumühle,Gemeinde,1053003,Schleswig-Holstein
Aura a.d. Saale,Gemeinde,9672111,Bayern
Aura i. Sinngrund,Gemeinde,9677116,Bayern
Aurach,Gemeinde,9571114,Bayern
Aurachtal,Gemeinde,9572114,Bayern
Aurich,Stadt,3452001,Niedersachsen
Ausacker,Gemeinde,1059103,Schleswig-Holstein
Ausleben,Gemeinde,15083035,Sachsen-Anhalt
Außernzell,Gemeinde,9271114,Bayern
Auufer,Gemeinde,1061005,Schleswig-Holstein
Auw an der Kyll,Gemeinde,7232006,Rheinland-Pfalz
Auw bei Prüm,Gemeinde,7232202,Rheinland-Pfalz
Auwald,Gemeindefreies Gebiet,9775451,Bayern
Aventoft,Gemeinde,1054009,Schleswig-Holstein
Averlak,Gemeinde,1051003,Schleswig-Holstein
Axstedt,Gemeinde,3356001,Niedersachsen
Aying,Gemeinde,9184137,Bayern
Ayl,Gemeinde,7235002,Rheinland-Pfalz
Aystetten,Gemeinde,9772117,Bayern
Baabe,Gemeinde,13073006,Mecklenburg-Vorpommern
Baar,Gemeinde,7137007,Rheinland-Pfalz
Baar (Schwaben),Gemeinde,9771176,Bayern
Baar-Ebenhausen,Gemeinde,9186113,Bayern
Babenhausen,Stadt,6432002,Hessen
Babenhausen,Gemeinde,9778115,Bayern
Babensham,Gemeinde,9187116,Bayern
Bach a.d. Donau,Gemeinde,9375116,Bayern
Bacharach,Stadt,7339003,Rheinland-Pfalz
Bachenberg,Gemeinde,7132004,Rheinland-Pfalz
Bachfeld,Gemeinde,16072001,Thüringen 
Bachhagel,Gemeinde,9773112,Bayern
Bächingen a.d. Brenz,Gemeinde,9773113,Bayern
Backnang,Stadt,8119008,Baden-Württemberg
Bad Abbach,Gemeinde,9273116,Bayern
Bad Aibling,Stadt,9187117,Bayern
Bad Alexandersbad,Gemeinde,9479111,Bayern
Bad Arolsen,Stadt,6635002,Hessen
Bad Bayersoien,Gemeinde,9180113,Bayern
Bad Bellingen,Gemeinde,8336006,Baden-Württemberg
Bad Belzig,Stadt,12069020,Brandenburg
Bad Bentheim,Stadt,3456001,Niedersachsen
Bad Bergzabern,Stadt,7337005,Rheinland-Pfalz
Bad Berka,Stadt,16071003,Thüringen 
Bad Berleburg,Stadt,5970004,Nordrhein-Westfalen
Bad Berneck i. Fichtelgebirge,Stadt,9472116,Bayern
Bad Bertrich,Gemeinde,7135501,Rheinland-Pfalz
Bad Bevensen,Stadt,3360002,Niedersachsen
Bad Bibra,Stadt,15084015,Sachsen-Anhalt
Bad Birnbach,Gemeinde,9277113,Bayern
Bad Blankenburg,Stadt,16073005,Thüringen 
Bad Bocklet,Gemeinde,9672112,Bayern
Bad Bodenteich,Gemeinde,3360005,Niedersachsen
Bad Boll,Gemeinde,8117012,Baden-Württemberg
Bad Brambach,Gemeinde,14523030,Sachsen
Bad Bramstedt,Stadt,1060004,Schleswig-Holstein
Bad Breisig,Stadt,7131006,Rheinland-Pfalz
Bad Brückenau,Stadt,9672113,Bayern
Bad Buchau,Stadt,8426013,Baden-Württemberg
Bad Camberg,Stadt,6533003,Hessen
Bad Colberg-Heldburg,Stadt,16069002,Thüringen 
Bad Ditzenbach,Gemeinde,8117006,Baden-Württemberg
Bad Doberan,Stadt,13072006,Mecklenburg-Vorpommern
Bad Driburg,Stadt,5762004,Nordrhein-Westfalen
Bad Düben,Stadt,14730020,Sachsen
Bad Dürkheim,Stadt,7332002,Rheinland-Pfalz
Bad Dürrenberg,Stadt,15088020,Sachsen-Anhalt
Bad Dürrheim,Stadt,8326003,Baden-Württemberg
Bad Eilsen,Gemeinde,3257005,Niedersachsen
Bad Elster,Stadt,14523040,Sachsen
Bad Ems,Stadt,7141006,Rheinland-Pfalz
Bad Emstal,Gemeinde,6633006,Hessen
Bad Endbach,Gemeinde,6534003,Hessen
Bad Endorf,Gemeinde,9187128,Bayern
Bad Essen,Gemeinde,3459003,Niedersachsen
Bad Fallingbostel,Stadt,3358008,Niedersachsen
Bad Feilnbach,Gemeinde,9187129,Bayern
Bad Frankenhausen/Kyffhäuser,Stadt,16065003,Thüringen 
Bad Freienwalde (Oder),Stadt,12064044,Brandenburg
Bad Friedrichshall,Stadt,8125005,Baden-Württemberg
Bad Füssing,Gemeinde,9275116,Bayern
Bad Gandersheim,Stadt,3155001,Niedersachsen
Bad Gottleuba-Berggießhübel,Stadt,14628020,Sachsen
Bad Griesbach i. Rottal,Stadt,9275124,Bayern
Bad Grönenbach,Gemeinde,9778144,Bayern
Bad Grund (Harz),Gemeinde,3156017,Niedersachsen
Bad Harzburg,Stadt,3153002,Niedersachsen
Bad Heilbrunn,Gemeinde,9173111,Bayern
Bad Herrenalb,Stadt,8235033,Baden-Württemberg
Bad Hersfeld,Stadt,6632002,Hessen
Bad Hindelang,Gemeinde,9780123,Bayern
Bad Homburg v.d. Höhe,Stadt,6434001,Hessen
Bad Honnef,Stadt,5382008,Nordrhein-Westfalen
Bad Hönningen,Stadt,7138004,Rheinland-Pfalz
Bad Iburg,Stadt,3459004,Niedersachsen
Bad Karlshafen,Stadt,6633002,Hessen
Bad Kissingen,Stadt,9672114,Bayern
Bad Kleinen,Gemeinde,13074002,Mecklenburg-Vorpommern
