Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Göhrde,Gemeinde,3354006,Niedersachsen
Göhrde,Gemeindefreies Gebiet,3354502,Niedersachsen
Göhren,Gemeinde,13073031,Mecklenburg-Vorpommern
Göhren,Gemeinde,16077008,Thüringen 
Göhren-Lebbin,Gemeinde,13071043,Mecklenburg-Vorpommern
Gohrisch,Gemeinde,14628140,Sachsen
Gokels,Gemeinde,1058061,Schleswig-Holstein
Golchen,Gemeinde,13071044,Mecklenburg-Vorpommern
Goldbach,Gemeinde,9671121,Bayern
Goldbach,Gemeinde,16067027,Thüringen 
Goldbeck,Gemeinde,15090180,Sachsen-Anhalt
Goldberg,Stadt,13076048,Mecklenburg-Vorpommern
Goldebek,Gemeinde,1054037,Schleswig-Holstein
Goldelund,Gemeinde,1054038,Schleswig-Holstein
Göldenitz,Gemeinde,1053034,Schleswig-Holstein
Goldenstedt,Gemeinde,3460004,Niedersachsen
Goldisthal,Gemeinde,16072006,Thüringen 
Goldkronach,Stadt,9472143,Bayern
Goldkronacher Forst,Gemeindefreies Gebiet,9472457,Bayern
Gölenkamp,Gemeinde,3456007,Niedersachsen
Gollenberg,Gemeinde,7134031,Rheinland-Pfalz
Gollenberg,Gemeinde,12063094,Brandenburg
Göllheim,Gemeinde,7333026,Rheinland-Pfalz
Gollhofen,Gemeinde,9575127,Bayern
Göllnitz,Gemeinde,16077009,Thüringen 
Golmbach,Gemeinde,3255015,Niedersachsen
Golmsdorf,Gemeinde,16074026,Thüringen 
Golßen,Stadt,12061164,Brandenburg
Goltoft,Gemeinde,1059033,Schleswig-Holstein
Golzow,Gemeinde,12064172,Brandenburg
Golzow,Gemeinde,12069216,Brandenburg
Gomadingen,Gemeinde,8415027,Baden-Württemberg
Gomaringen,Gemeinde,8416015,Baden-Württemberg
Gommern,Stadt,15086055,Sachsen-Anhalt
Gommersheim,Gemeinde,7337032,Rheinland-Pfalz
Gompertshausen,Gemeinde,16069015,Thüringen 
Gonbach,Gemeinde,7333027,Rheinland-Pfalz
Gondelsheim,Gemeinde,8215025,Baden-Württemberg
Gondenbrett,Gemeinde,7232227,Rheinland-Pfalz
Gondershausen,Gemeinde,7140043,Rheinland-Pfalz
Gondorf,Gemeinde,7232044,Rheinland-Pfalz
Gönnebek,Gemeinde,1060026,Schleswig-Holstein
Gönnersdorf,Gemeinde,7131025,Rheinland-Pfalz
Gönnersdorf,Gemeinde,7233028,Rheinland-Pfalz
Gönnheim,Gemeinde,7332022,Rheinland-Pfalz
