"key","name","voters","valid","valid_percentage"
176160,"Schernfeld",2318,261,"11,3"
176161,"Stammham",2957,504,"17,0"
176164,"Titting, M",2076,263,"12,7"
176165,"Walting",1766,279,"15,8"
176166,"Wellheim, M",2071,480,"23,2"
176167,"Wettstetten",3722,669,"18,0"
177112,"Berglern",2135,261,"12,2"
177113,"Bockhorn",3011,508,"16,9"
177114,"Buch a.Buchrain",1177,220,"18,7"
177115,"Dorfen, St",10750,2482,"23,1"
177116,"Eitting",1952,241,"12,3"
177117,"Erding, GKSt",25352,4399,"17,4"
177118,"Finsing",3422,533,"15,6"
177119,"Forstern",2607,405,"15,5"
177120,"Fraunberg",2659,469,"17,6"
177121,"Hohenpolding",1231,118,"9,6"
177122,"Inning a.Holz",1184,134,"11,3"
177123,"Isen, M",4308,908,"21,1"
177124,"Kirchberg",816,92,"11,3"
177126,"Langenpreising",2157,306,"14,2"
177127,"Lengdorf",2123,378,"17,8"
177130,"Moosinning",4369,583,"13,3"
177131,"Neuching",2029,298,"14,7"
177133,"Oberding",4310,601,"13,9"
177134,"Ottenhofen",1434,329,"22,9"
177135,"Pastetten",1958,329,"16,8"
177137,"Sankt Wolfgang",3396,551,"16,2"
177138,"Steinkirchen",980,121,"12,3"
177139,"Taufkirchen (Vils)",7225,1107,"15,3"
177142,"Walpertskirchen",1385,283,"20,4"
177143,"Wartenberg, M",3859,709,"18,4"
177144,"Wörth",3404,847,"24,9"
178113,"Allershausen",3767,579,"15,4"
178115,"Attenkirchen",1993,303,"15,2"
178116,"Au i.d.Hallertau, M",4340,480,"11,1"
178120,"Eching",9578,1655,"17,3"
178122,"Rudelzhausen",2520,301,"11,9"
178123,"Fahrenzhausen",3475,670,"19,3"
178124,"Freising, GKSt",31932,7393,"23,2"
178125,"Gammelsdorf",1103,100,"9,1"
178129,"Haag a.d.Amper",2132,321,"15,1"
178130,"Hallbergmoos",6969,984,"14,1"
178132,"Hörgertshausen",1530,182,"11,9"
178133,"Hohenkammer",1795,245,"13,6"
178136,"Kirchdorf a.d.Amper",2299,333,"14,5"
178137,"Kranzberg",3104,622,"20,0"
178138,"Langenbach",2910,551,"18,9"
178140,"Marzling",2356,652,"27,7"
178142,"Mauern",2211,343,"15,5"
178143,"Moosburg a.d.Isar, St",12574,2418,"19,2"
178144,"Nandlstadt, M",3796,545,"14,4"
178145,"Neufahrn b.Freising",12367,2480,"20,1"
178150,"Paunzhausen",1191,182,"15,3"
178155,"Wang",1870,279,"14,9"
178156,"Wolfersdorf",1848,212,"11,5"
178157,"Zolling",3333,473,"14,2"
179111,"Adelshofen",1319,268,"20,3"
179113,"Alling",2897,660,"22,8"
179114,"Althegnenberg",1523,349,"22,9"
179117,"Egenhofen",2579,536,"20,8"
179118,"Eichenau",8968,3135,"35,0"
179119,"Emmering",4849,1235,"25,5"
179121,"Fürstenfeldbruck, GKSt",24734,5819,"23,5"
179123,"Germering, GKSt",27031,5872,"21,7"
179125,"Grafrath",2858,966,"33,8"
179126,"Gröbenzell",14645,4645,"31,7"
179128,"Hattenhofen",1155,222,"19,2"
179130,"Jesenwang",1166,249,"21,4"
179131,"Kottgeisering",1229,396,"32,2"
179132,"Landsberied",1224,271,"22,1"
179134,"Maisach",10325,2390,"23,1"
179136,"Mammendorf",3604,975,"27,1"
179137,"Mittelstetten",1319,230,"17,4"
179138,"Moorenweis",3169,558,"17,6"
179140,"Oberschweinbach",1284,327,"25,5"
179142,"Olching, St",19446,4510,"23,2"
179145,"Puchheim, St",14088,4182,"29,7"
179147,"Schöngeising",1485,518,"34,9"
179149,"Türkenfeld",2831,888,"31,4"
180112,"Bad Kohlgrub",2040,359,"17,6"
180113,"Bad Bayersoien",970,156,"16,1"
180114,"Eschenlohe",1242,202,"16,3"
180115,"Ettal",482,74,"15,4"
180116,"Farchant",2823,434,"15,4"
180117,"Garmisch-Partenkirchen, M",19091,3040,"15,9"
180118,"Grainau",2574,322,"12,5"
180119,"Großweil",1143,246,"21,5"
180122,"Krün",1485,183,"12,3"
180123,"Mittenwald, M",5728,583,"10,2"
180124,"Murnau a.Staffelsee, M",8990,2975,"33,1"
180125,"Oberammergau",3901,730,"18,7"
180126,"Oberau",2350,300,"12,8"
180127,"Ohlstadt",2573,776,"30,2"
180128,"Riegsee",969,216,"22,3"
180129,"Saulgrub",1298,192,"14,8"
180131,"Schwaigen",502,111,"22,1"
180132,"Seehausen a.Staffelsee",1828,505,"27,6"
180133,"Spatzenhausen",607,109,"18,0"
180134,"Uffing a.Staffelsee",2331,836,"35,9"
180135,"Unterammergau",1213,167,"13,8"
180136,"Wallgau",1141,114,"10,0"
181111,"Apfeldorf",914,153,"16,7"
181113,"Denklingen",2116,352,"16,6"
181114,"Dießen am Ammersee, M",8127,2346,"28,9"
181115,"Eching am Ammersee",1335,330,"24,7"
181116,"Egling a.d.Paar",1757,490,"27,9"
181118,"Eresing",1437,435,"30,3"
181120,"Finning",1436,468,"32,6"
181121,"Fuchstal",2952,581,"19,7"
181122,"Geltendorf",4253,1090,"25,6"
181123,"Greifenberg",1663,435,"26,2"
181124,"Hofstetten",1465,351,"24,0"
181126,"Hurlach",1321,201,"15,2"
181127,"Igling",1918,420,"21,9"
181128,"Kaufering, M",7782,1774,"22,8"
181129,"Kinsau",832,152,"18,3"
181130,"Landsberg am Lech, GKSt",20776,4936,"23,8"
181131,"Obermeitingen",1325,206,"15,5"
181132,"Penzing",2862,635,"22,2"
181133,"Vilgertshofen",2066,431,"20,9"
181134,"Prittriching",1953,399,"20,4"
181135,"Reichling",1327,314,"23,7"
181137,"Rott",1278,319,"25,0"
181138,"Scheuring",1489,261,"17,5"
181139,"Schondorf am Ammersee",2906,998,"34,3"
181140,"Schwifting",786,200,"25,4"
181141,"Pürgen",2785,649,"23,3"
181142,"Thaining",814,169,"20,8"
181143,"Unterdießen",1156,242,"20,9"
181144,"Utting am Ammersee",3369,1327,"39,4"
181145,"Weil",2923,665,"22,8"
181146,"Windach",2885,908,"31,5"
182111,"Bad Wiessee",3538,482,"13,6"
182112,"Bayrischzell",1207,144,"11,9"
182114,"Fischbachau",4512,560,"12,4"
182116,"Gmund a.Tegernsee",4656,820,"17,6"
182119,"Hausham",5769,851,"14,8"
182120,"Holzkirchen, M",11674,2882,"24,7"
182123,"Irschenberg",2285,280,"12,3"
182124,"Kreuth",2647,311,"11,7"
182125,"Miesbach, St",8300,1540,"18,6"
182127,"Otterfing",3435,887,"25,8"
182129,"Rottach-Egern",4463,696,"15,6"
182131,"Schliersee, M",5243,920,"17,5"
182132,"Tegernsee, St",2647,443,"16,7"
182133,"Valley",2487,524,"21,1"
182134,"Waakirchen",4413,768,"17,4"
182136,"Warngau",2897,459,"15,8"
182137,"Weyarn",2799,493,"17,6"
183112,"Ampfing",4896,811,"16,6"
183113,"Aschau a.Inn",2370,457,"19,3"
183114,"Buchbach, M",2417,415,"17,2"
183115,"Egglkofen",955,116,"12,1"
183116,"Erharting",740,52,"7,0"
183118,"Gars a.Inn, M",2967,632,"21,3"
183119,"Haag i.OB, M",4654,923,"19,8"
183120,"Heldenstein",2067,353,"17,1"
183122,"Jettenbach",576,95,"16,5"
183123,"Kirchdorf",1058,122,"11,5"
183124,"Kraiburg a.Inn, M",3187,636,"20,0"
183125,"Lohkirchen",565,94,"16,6"
183126,"Maitenbeth",1554,390,"25,1"
183127,"Mettenheim",2585,391,"15,1"
183128,"Mühldorf a.Inn, St",15090,2671,"17,7"
183129,"Neumarkt-Sankt Veit, St",4637,716,"15,4"
183130,"Niederbergkirchen",977,135,"13,8"
183131,"Niedertaufkirchen",1137,125,"11,0"
183132,"Oberbergkirchen",1329,220,"16,6"
183134,"Oberneukirchen",659,40,"6,1"
183135,"Obertaufkirchen",1910,260,"13,6"
183136,"Polling",2639,590,"22,4"
183138,"Rattenkirchen",804,87,"10,8"
183139,"Rechtmehring",1465,240,"16,4"
183140,"Reichertsheim",1301,174,"13,4"
183143,"Schönberg",782,74,"9,5"
183144,"Schwindegg",2629,518,"19,7"
183145,"Taufkirchen",1120,147,"13,1"
183147,"Unterreit",1343,235,"17,5"
183148,"Waldkraiburg, St",16216,2410,"14,9"
183151,"Zangberg",854,151,"17,7"
184112,"Aschheim",5872,1213,"20,7"
184113,"Baierbrunn",2167,793,"36,6"
184114,"Brunnthal",3777,822,"21,8"
184118,"Feldkirchen",4907,1125,"22,9"
184119,"Garching b.München, St",10682,2219,"20,8"
184120,"Gräfelfing",9765,2995,"30,7"
184121,"Grasbrunn",4852,1444,"29,8"
184122,"Grünwald",7789,1946,"25,0"
184123,"Haar",13332,3485,"26,1"
184127,"Höhenkirchen-Siegertsbrunn",7301,2100,"28,8"
184129,"Hohenbrunn",5884,1782,"30,3"
184130,"Ismaning",11822,2698,"22,8"
184131,"Kirchheim b.München",9123,2346,"25,7"
184132,"Neuried",5898,1905,"32,3"
184134,"Oberhaching",9804,3257,"33,2"
184135,"Oberschleißheim",7760,1707,"22,0"
184136,"Ottobrunn",14229,4036,"28,4"
184137,"Aying",3690,924,"25,0"
184138,"Planegg",7635,2296,"30,1"
184139,"Pullach i.Isartal",6234,1849,"29,7"
184140,"Putzbrunn",4446,1092,"24,6"
184141,"Sauerlach",5586,1504,"26,9"
184142,"Schäftlarn",4067,1231,"30,3"
184144,"Straßlach-Dingharting",2248,519,"23,1"
184145,"Taufkirchen",12032,3243,"27,0"
184146,"Neubiberg",10530,2471,"23,5"
184147,"Unterföhring",7380,1704,"23,1"
184148,"Unterhaching",17091,4378,"25,6"
184149,"Unterschleißheim, St",19019,5185,"27,3"
185113,"Aresing",2237,358,"16,0"
185116,"Berg im Gau",979,66,"6,7"
185118,"Bergheim",1465,212,"14,5"
185123,"Brunnen",1289,102,"7,9"
185125,"Burgheim, M",3611,469,"13,0"
185127,"Ehekirchen",2885,534,"18,5"
185131,"Gachenbach",1925,180,"9,4"
185139,"Karlshuld",4488,630,"14,0"
185140,"Karlskron",3867,445,"11,5"
185143,"Langenmosen",1226,114,"9,3"
185149,"Neuburg a.d.Donau, GKSt",20679,3070,"14,8"
185150,"Oberhausen",2251,350,"15,5"
185153,"Rennertshofen, M",3819,461,"12,1"
185157,"Rohrenfels",1179,135,"11,5"
185158,"Schrobenhausen, St",12605,1811,"14,4"
185163,"Königsmoos",3630,339,"9,3"
185166,"Waidhofen",1773,218,"12,3"
185168,"Weichering",1858,301,"16,2"
186113,"Baar-Ebenhausen",4047,590,"14,6"
186116,"Ernsgaden",1242,136,"11,0"
186122,"Geisenfeld, St",7942,820,"10,3"
186125,"Gerolsbach",2717,424,"15,6"
186126,"Hettenshausen",1527,312,"20,4"
186128,"Hohenwart, M",3521,408,"11,6"
186130,"Ilmmünster",1754,364,"20,8"
186132,"Jetzendorf",2317,493,"21,3"
186137,"Manching, M",8786,1061,"12,1"
186139,"Münchsmünster",2341,396,"16,9"
186143,"Pfaffenhofen a.d.Ilm, St",18807,3568,"19,0"
186144,"Pörnbach",1607,256,"15,9"
186146,"Reichertshausen",3848,722,"18,8"
186147,"Reichertshofen, M",6001,815,"13,6"
186149,"Rohrbach",4460,744,"16,7"
186151,"Scheyern",3719,760,"20,4"
186152,"Schweitenkirchen",3781,445,"11,8"
186158,"Vohburg a.d.Donau, St",5988,824,"13,8"
186162,"Wolnzach, M",8638,1038,"12,0"
187113,"Amerang",2899,593,"20,5"
187114,"Aschau i.Chiemgau",4511,850,"18,8"
187116,"Babensham",2382,380,"16,0"
187117,"Bad Aibling, St",13915,2952,"21,2"
187118,"Bernau a.Chiemsee",4993,1013,"20,3"
187120,"Brannenburg",4686,1178,"25,1"
187121,"Breitbrunn a.Chiemsee",1241,304,"24,5"
187122,"Bruckmühl, M",12329,2313,"18,8"
187123,"Chiemsee",159,29,"18,2"
187124,"Edling",3365,631,"18,8"
187125,"Eggstätt",2261,454,"20,1"
187126,"Eiselfing",2355,327,"13,9"
187128,"Bad Endorf, M",6065,1084,"17,9"
187129,"Bad Feilnbach",6145,1262,"20,5"
187130,"Feldkirchen-Westerham",7990,1887,"23,6"
187131,"Flintsbach a.Inn",2314,455,"19,7"
187132,"Frasdorf",2296,358,"15,6"
187134,"Griesstätt",2130,333,"15,6"
187137,"Großkarolinenfeld",5493,976,"17,8"
187138,"Gstadt a.Chiemsee",917,162,"17,7"
187139,"Halfing",2124,423,"19,9"
187142,"Schechen",3799,543,"14,3"
187145,"Höslwang",997,135,"13,5"
187148,"Kiefersfelden",5007,763,"15,2"
187150,"Kolbermoor, St",13349,2324,"17,4"
187154,"Neubeuern, M",3239,718,"22,2"
187156,"Nußdorf a.Inn",2048,404,"19,7"
187157,"Oberaudorf",3836,547,"14,3"
187159,"Pfaffing",3045,563,"18,5"
187162,"Prien a.Chiemsee, M",8219,1683,"20,5"
187163,"Prutting",2188,410,"18,7"
187164,"Ramerberg",1036,191,"18,4"
187165,"Raubling",8811,1447,"16,4"
187167,"Riedering",4361,858,"19,7"
187168,"Rimsting",3027,656,"21,7"
187169,"Rohrdorf",4364,659,"15,1"
187170,"Rott a.Inn",3124,589,"18,9"
187172,"Samerberg",2133,348,"16,3"
187173,"Schonstett",1027,140,"13,6"
187174,"Söchtenau",2070,321,"15,5"
187176,"Soyen",2297,470,"20,5"
187177,"Stephanskirchen",7854,1814,"23,1"
187179,"Tuntenhausen",5379,967,"18,0"
187181,"Vogtareuth",2368,402,"17,0"
187182,"Wasserburg a.Inn, St",8933,1992,"22,3"
187186,"Albaching",1302,212,"16,3"
188113,"Berg",5829,1343,"23,0"
188117,"Andechs",2502,560,"22,4"
188118,"Feldafing",3150,936,"29,7"
188120,"Gauting",14198,4251,"29,9"
188121,"Gilching",13126,3327,"25,3"
188124,"Herrsching a.Ammersee",7558,2154,"28,5"
188126,"Inning a.Ammersee",3331,1061,"31,9"
188127,"Krailling",5399,1627,"30,1"
188132,"Seefeld",5288,1533,"29,0"
188137,"Pöcking",4117,1170,"28,4"
188139,"Starnberg, St",16610,3644,"21,9"
188141,"Tutzing",7208,2156,"29,9"
188144,"Weßling",3961,1440,"36,4"
188145,"Wörthsee",3748,1343,"35,8"
189111,"Altenmarkt a.d.Alz",3271,683,"20,9"
189113,"Bergen",3864,792,"20,5"
189114,"Chieming",3707,884,"23,8"
189115,"Engelsberg",1973,325,"16,5"
189118,"Fridolfing",3336,688,"20,6"
189119,"Grabenstätt",3418,619,"18,1"
189120,"Grassau, M",4894,1103,"22,5"
189124,"Inzell",3741,596,"15,9"
189126,"Kienberg",1111,216,"19,4"
189127,"Kirchanschöring",2501,563,"22,5"
189129,"Marquartstein",2459,601,"24,4"
189130,"Nußdorf",1944,398,"20,5"
189133,"Obing",3298,548,"16,6"
189134,"Palling",2728,427,"15,7"
189135,"Petting",1834,438,"23,9"
189137,"Pittenhart",1411,221,"15,7"
189139,"Reit im Winkl",1716,200,"11,7"
189140,"Ruhpolding",5310,796,"15,0"
189141,"Schleching",1495,289,"19,3"
189142,"Schnaitsee",2825,459,"16,2"
189143,"Seeon-Seebruck",3612,665,"18,4"
189145,"Siegsdorf",6395,967,"15,1"
189146,"Staudach-Egerndach",912,185,"20,3"
189148,"Surberg",2577,466,"18,1"
189149,"Tacherting",4436,634,"14,3"
189150,"Taching a.See",1655,312,"18,9"
189152,"Tittmoning, St",4483,925,"20,6"
189154,"Traunreut, St",14232,1422,"10,0"
189155,"Traunstein, GKSt",14932,3028,"20,3"
189157,"Trostberg, St",8611,1358,"15,8"
189159,"Übersee",4055,867,"21,4"
189160,"Unterwössen",2777,518,"18,7"
189161,"Vachendorf",1445,313,"21,7"
189162,"Waging a.See, M",5321,962,"18,1"
189165,"Wonneberg",1174,170,"14,5"
190111,"Altenstadt",2465,496,"20,1"
190113,"Antdorf",993,176,"17,7"
190114,"Bernbeuren",1913,259,"13,5"
190115,"Bernried am Starnberger See",1663,587,"35,3"
190117,"Böbing",1421,344,"24,2"
190118,"Burggen",1320,198,"15,0"
190120,"Eberfing",1124,164,"14,6"
190121,"Eglfing",835,240,"28,7"
190126,"Habach",861,191,"22,2"
190129,"Hohenfurch",1275,175,"13,7"
190130,"Hohenpeißenberg",3133,831,"26,5"
190131,"Huglfing",2128,663,"31,2"
190132,"Iffeldorf",2011,644,"32,0"
190133,"Ingenried",800,103,"12,9"
190135,"Oberhausen",1660,517,"31,1"
190136,"Obersöchering",1178,217,"18,4"
190138,"Pähl",1905,420,"22,0"
190139,"Peißenberg, M",9574,2042,"21,3"
190140,"Peiting, M",9069,1929,"21,3"
190141,"Penzberg, St",12135,2730,"22,5"
190142,"Polling",2659,781,"29,4"
190143,"Prem",718,128,"17,8"
190144,"Raisting",1837,509,"27,7"
190145,"Rottenbuch",1358,249,"18,3"
190148,"Schongau, St",8419,1622,"19,3"
190149,"Schwabbruck",729,138,"18,9"
190151,"Schwabsoien",1068,247,"23,1"
190152,"Seeshaupt",2433,763,"31,4"
190153,"Sindelsdorf",938,161,"17,2"
190154,"Steingaden",2221,367,"16,5"
190157,"Weilheim i.OB, St",16760,4568,"27,3"
190158,"Wessobrunn",1677,377,"22,5"
190159,"Wielenbach",2528,574,"22,7"
190160,"Wildsteig",1001,164,"16,4"
261000,"Landshut, Krfr. St",49186,9782,"19,9"
262000,"Passau, Krfr. St",38013,6373,"16,8"
263000,"Straubing, Krfr. St",34019,4421,"13,0"
271111,"Aholming",1837,190,"10,3"
271113,"Auerbach",1696,200,"11,8"
271114,"Außernzell",1104,105,"9,5"
271116,"Bernried",3851,517,"13,4"
271118,"Buchhofen",737,66,"9,0"
271119,"Deggendorf, GKSt",24792,2899,"11,7"
271122,"Grafling",2243,212,"9,5"
271123,"Grattersdorf",1053,119,"11,3"
271125,"Hengersberg, M",5753,645,"11,2"
271126,"Hunding",971,81,"8,3"
271127,"Iggensbach",1693,185,"10,9"
271128,"Künzing",2578,271,"10,5"
271130,"Lalling",1305,155,"11,9"
271132,"Metten, M",3267,566,"17,3"
271135,"Moos",1848,213,"11,5"
271138,"Niederalteich",1381,263,"19,0"
271139,"Oberpöring",935,85,"9,1"
271140,"Offenberg",2657,401,"15,1"
271141,"Osterhofen, St",9446,1154,"12,2"
271143,"Otzing",1569,113,"7,2"
271146,"Plattling, St",9433,1057,"11,2"
271148,"Schaufling",1224,136,"11,1"
271149,"Schöllnach, M",3896,455,"11,7"
271151,"Stephansposching",2456,279,"11,4"
271152,"Wallerfing",1059,69,"6,5"
271153,"Winzer, M",3076,317,"10,3"
272116,"Eppenschlag",781,62,"7,9"
272118,"Freyung, St",5669,782,"13,8"
272119,"Fürsteneck",718,110,"15,3"
272120,"Grafenau, St",6596,819,"12,4"
272121,"Grainet",1914,186,"9,7"
272122,"Haidmühle",1060,77,"7,3"
272126,"Hinterschmiding",1983,218,"11,0"
272127,"Hohenau",2750,315,"11,5"
272128,"Innernzell",1280,73,"5,7"
272129,"Jandelsbrunn",2702,249,"9,2"
272134,"Mauth",1859,208,"11,2"
272136,"Neureichenau",3557,296,"8,3"
272138,"Perlesreut, M",2301,317,"13,8"
272139,"Philippsreut",529,48,"9,1"
272140,"Ringelai",1564,279,"17,8"
272141,"Röhrnbach, M",3507,431,"12,3"
272142,"Saldenburg",1659,202,"12,2"
272143,"Sankt Oswald-Riedlhütte",2445,235,"9,6"
272145,"Schöfweg",1068,97,"9,1"
272146,"Neuschönau",1826,193,"10,6"
272147,"Schönberg, M",3205,378,"11,8"
272149,"Spiegelau",3188,349,"10,9"
272150,"Thurmansbang",1988,245,"12,3"
272151,"Waldkirchen, St",8509,950,"11,2"
272152,"Zenting",910,113,"12,4"
273111,"Abensberg, St",9886,1751,"17,7"
273113,"Aiglsbach",1370,131,"9,6"
273115,"Attenhofen",1073,109,"10,2"
273116,"Bad Abbach, M",9150,1764,"19,3"
273119,"Biburg",966,109,"11,3"
273121,"Essing, M",794,110,"13,9"
273125,"Hausen",1673,188,"11,2"
273127,"Herrngiersdorf",968,130,"13,4"
273133,"Ihrlerstein",3414,635,"18,6"
273137,"Kelheim, St",11905,1653,"13,9"
273139,"Kirchdorf",693,89,"12,8"
273141,"Langquaid, M",4207,635,"15,1"
273147,"Mainburg, St",9859,1803,"18,3"
273152,"Neustadt a.d.Donau, St",9882,1013,"10,3"
273159,"Painten, M",1808,344,"19,0"
273163,"Elsendorf",1524,160,"10,5"
273164,"Riedenburg, St",4538,548,"12,1"
273165,"Rohr i.NB, M",2583,383,"14,8"
273166,"Saal a.d.Donau",4186,518,"12,4"
273172,"Siegenburg, M",2678,314,"11,7"
273175,"Teugn",1338,187,"14,0"
273177,"Train",1432,179,"12,5"
273178,"Volkenschwand",1307,175,"13,4"
273181,"Wildenberg",1055,166,"15,7"
274111,"Adlkofen",3246,468,"14,4"
274112,"Aham",1535,198,"12,9"
274113,"Altdorf, M",8185,1300,"15,9"
274114,"Altfraunhofen",1750,334,"19,1"
274118,"Baierbach",641,100,"15,6"
274119,"Bayerbach b.Ergoldsbach",1473,186,"12,6"
274120,"Bodenkirchen",4116,713,"17,3"
274121,"Buch a.Erlbach",2924,660,"22,6"
274124,"Eching",3075,519,"16,9"
274126,"Ergolding, M",9403,1483,"15,8"
274127,"Ergoldsbach, M",6010,843,"14,0"
274128,"Essenbach, M",8881,1160,"13,1"
274132,"Furth",2786,470,"16,9"
274134,"Geisenhausen, M",5321,968,"18,2"
274135,"Gerzen",1449,235,"16,2"
274141,"Hohenthann",3111,449,"14,4"
274145,"Kröning",1601,245,"15,3"
274146,"Kumhausen",3964,774,"19,5"
274153,"Neufahrn i.NB",3124,452,"14,5"
274154,"Neufraunhofen",817,108,"13,2"
274156,"Niederaichbach",2946,372,"12,6"
274165,"Obersüßbach",1355,187,"13,8"
274172,"Pfeffenhausen, M",3860,538,"13,9"
274174,"Postau",1308,154,"11,8"
274176,"Rottenburg a.d.Laaber, St",5941,797,"13,4"
274179,"Schalkham",689,123,"17,9"
274182,"Tiefenbach",2928,609,"20,8"
274183,"Velden, M",4944,699,"14,1"
